airline_code,num_code,dep_time,time_taken,price,Routine,departure_time
2,5328,9.5,45,900300,0,2
2,184,9.083333333333334,45,916200,0,2
0,943,7.5,45,930000,0,2
0,977,19.0,45,930000,0,4
0,963,8.833333333333334,45,930000,0,2
0,941,16.75,45,930000,0,3
0,955,17.75,45,930000,0,4
3,624,19.0,45,837300,0,4
2,6202,12.0,45,900300,0,3
2,2046,17.25,45,900300,0,4
2,6722,21.25,45,900300,0,1
1,717,16.666666666666668,45,999000,0,3
1,713,19.916666666666668,45,999000,0,4
1,717,16.666666666666668,45,999000,0,3
0,2976,19.333333333333332,45,1055700,0,4
0,8483,18.166666666666668,45,1055700,0,4
0,2976,19.333333333333332,45,1055700,0,4
0,339,15.5,45,1055700,0,3
0,2277,15.75,45,1055700,0,3
2,369,21.833333333333332,45,1063800,0,1
2,607,22.25,45,1064700,0,1
2,2042,20.333333333333332,45,1064700,0,1
2,549,14.333333333333334,45,1071000,0,3
2,573,16.0,45,1071000,0,3
3,9643,19.0,45,1069200,0,4
2,5041,18.666666666666668,45,1156500,0,4
3,540,20.666666666666668,45,1156500,0,1
3,537,16.25,45,1156500,0,3
3,429,9.833333333333334,45,1156500,0,2
3,439,6.083333333333333,45,1156500,0,2
3,531,20.0,45,1169100,0,1
2,2092,17.916666666666668,45,1187700,0,4
2,5018,12.916666666666666,45,1187700,0,3
2,926,18.5,45,1188900,0,4
2,2168,18.0,45,1190400,0,4
2,2193,14.083333333333334,45,1190400,0,3
3,540,20.666666666666668,45,1235400,0,1
3,537,16.25,45,1235400,0,3
3,481,8.666666666666666,45,1248300,0,2
3,435,5.916666666666667,45,1248300,0,0
3,481,8.666666666666666,45,1248300,0,2
2,181,5.25,45,1273800,0,0
3,839,21.416666666666668,45,1275300,0,1
2,2193,14.083333333333334,45,1301100,0,3
2,2083,5.5,45,1301100,0,0
2,152,10.25,45,1301100,0,2
0,683,13.666666666666666,45,1434300,0,3
3,469,5.916666666666667,45,1348800,0,0
2,2154,10.5,45,1359300,0,2
0,673,13.333333333333334,45,1490400,0,3
2,282,10.0,45,1390800,0,2
0,833,7.166666666666667,45,1501800,0,2
2,2373,13.833333333333334,45,1402200,0,3
0,835,19.916666666666668,45,1512000,0,4
0,837,17.416666666666668,45,1512000,0,4
0,835,19.916666666666668,45,1512000,0,4
0,837,17.416666666666668,45,1512000,0,4
0,839,13.5,45,1512000,0,3
1,1404,9.166666666666666,45,1437900,0,2
3,429,9.833333333333334,45,1455900,0,2
3,439,6.083333333333333,45,1455900,0,2
3,9843,6.083333333333333,45,1458900,0,2
3,747,19.0,45,1460100,0,4
3,747,19.0,45,1460100,0,4
3,798,12.666666666666666,45,1460100,0,3
0,829,7.5,45,1568100,0,2
0,899,14.75,45,1568100,0,3
0,859,10.416666666666666,45,1568100,0,2
0,871,20.583333333333332,45,1568100,0,1
0,829,7.5,45,1568100,0,2
0,871,20.583333333333332,45,1568100,0,1
0,899,14.75,45,1568100,0,3
0,859,10.416666666666666,45,1568100,0,2
3,542,9.75,45,1464300,0,2
3,560,8.166666666666666,45,1464300,0,2
2,607,22.25,45,1477200,0,1
3,406,10.25,45,1477800,0,2
0,833,7.166666666666667,45,1596300,0,2
0,839,13.5,45,1606500,0,3
0,835,19.916666666666668,45,1606500,0,4
0,837,17.416666666666668,45,1606500,0,4
3,473,18.666666666666668,45,1507800,0,4
1,211,9.0,45,1526100,0,2
1,2509,6.0,45,1526100,0,2
1,211,9.0,45,1526100,0,2
1,2609,21.0,45,1526100,0,1
3,491,11.916666666666666,45,1537800,0,2
0,879,17.666666666666668,45,1662600,0,4
0,879,17.666666666666668,45,1662600,0,4
3,784,16.083333333333332,45,1569000,0,3
3,784,16.083333333333332,45,1569000,0,3
3,411,7.083333333333333,45,1569300,0,2
3,877,11.0,45,1590300,0,2
3,544,17.25,45,1590300,0,4
1,7553,15.0,45,1596900,0,3
1,237,12.833333333333334,45,1596900,0,3
