Departure Airport,Departure Time,Arrival Airport,Arrival Time,Carrier Code,Flight Number,Price (VND),Duration
SGN,2024-10-04 21:10:00,DAD,2024-10-04 22:35:00,QH,170,2867000.00,PT1H25M
DAD,2024-10-05 08:00:00,HAN,2024-10-05 09:25:00,QH,102,2867000.00,PT1H25M
DAD,2024-10-05 12:00:00,HAN,2024-10-05 13:25:00,QH,104,2867000.00,PT1H25M
SGN,2024-10-04 09:35:00,CXR,2024-10-04 10:45:00,QH,1312,3135000.00,PT1H10M
CXR,2024-10-04 15:40:00,HAN,2024-10-04 17:35:00,QH,1416,3135000.00,PT1H55M
SGN,2024-10-04 20:30:00,DAD,2024-10-04 21:50:00,H1,4209,3189000.00,PT1H20M
DAD,2024-10-05 06:20:00,HAN,2024-10-05 07:40:00,H1,4082,3189000.00,PT1H20M
DAD,2024-10-05 07:20:00,HAN,2024-10-05 08:40:00,H1,4021,3189000.00,PT1H20M
SGN,2024-10-04 06:30:00,HAN,2024-10-04 08:35:00,VN,7258,3244000.00,PT2H5M
SGN,2024-10-04 18:35:00,DAD,2024-10-04 19:55:00,W2,4636,3337000.00,PT1H20M
DAD,2024-10-04 22:00:00,HAN,2024-10-04 23:20:00,W2,4528,3337000.00,PT1H20M
SGN,2024-10-04 19:05:00,DAD,2024-10-04 20:25:00,W2,4642,3337000.00,PT1H20M
DAD,2024-10-04 22:35:00,HAN,2024-10-04 23:55:00,W2,4532,3337000.00,PT1H20M
SGN,2024-10-04 15:45:00,DAD,2024-10-04 17:05:00,W2,4634,3337000.00,PT1H20M
DAD,2024-10-04 19:20:00,HAN,2024-10-04 20:40:00,W2,4524,3337000.00,PT1H20M
DAD,2024-10-04 22:45:00,HAN,2024-10-05 00:01:00,W2,4534,3337000.00,PT1H16M
SGN,2024-10-04 18:00:00,DAD,2024-10-04 19:20:00,W2,4638,3337000.00,PT1H20M
SGN,2024-10-04 07:05:00,DAD,2024-10-04 08:25:00,W2,3622,3337000.00,PT1H20M
DAD,2024-10-04 12:05:00,HAN,2024-10-04 13:25:00,W2,4512,3337000.00,PT1H20M
DAD,2024-10-04 20:40:00,HAN,2024-10-04 22:05:00,W2,4510,3337000.00,PT1H25M
