Departure Airport,Departure Time,Arrival Airport,Arrival Time,Carrier Code,Flight Number,Price (VND),Duration
SGN,2024-11-01 20:35:00,HAN,2024-11-01 22:45:00,QH,276,2092000.00,PT2H10M
SGN,2024-11-01 23:20:00,HAN,2024-11-02 01:30:00,QH,288,2092000.00,PT2H10M
SGN,2024-11-01 20:30:00,HUI,2024-11-01 21:55:00,VJ,310,2327000.00,PT1H25M
HUI,2024-11-01 22:45:00,HAN,2024-11-02 00:01:00,VJ,568,2327000.00,PT1H16M
SGN,2024-11-01 16:35:00,DAD,2024-11-01 17:55:00,VJ,1632,2327000.00,PT1H20M
DAD,2024-11-01 20:40:00,HAN,2024-11-01 22:00:00,VJ,522,2327000.00,PT1H20M
SGN,2024-11-01 04:55:00,DAD,2024-11-01 06:15:00,VJ,620,2327000.00,PT1H20M
DAD,2024-11-01 09:05:00,HAN,2024-11-01 10:25:00,VJ,506,2327000.00,PT1H20M
SGN,2024-11-01 19:05:00,DAD,2024-11-01 20:25:00,VJ,1634,2327000.00,PT1H20M
DAD,2024-11-01 23:15:00,HAN,2024-11-02 00:35:00,VJ,524,2327000.00,PT1H20M
SGN,2024-11-01 12:25:00,DAD,2024-11-01 13:45:00,VJ,624,2327000.00,PT1H20M
DAD,2024-11-01 17:25:00,HAN,2024-11-01 18:45:00,VJ,516,2327000.00,PT1H20M
DAD,2024-11-01 21:40:00,HAN,2024-11-01 23:00:00,VJ,520,2327000.00,PT1H20M
SGN,2024-11-01 07:25:00,DAD,2024-11-01 08:45:00,VJ,622,2327000.00,PT1H20M
DAD,2024-11-01 12:35:00,HAN,2024-11-01 13:55:00,VJ,510,2327000.00,PT1H20M
SGN,2024-11-01 14:30:00,DAD,2024-11-01 15:50:00,VJ,1630,2327000.00,PT1H20M
SGN,2024-11-01 16:15:00,PXU,2024-11-01 17:25:00,VJ,396,2435000.00,PT1H10M
PXU,2024-11-01 19:00:00,HAN,2024-11-01 20:35:00,VJ,426,2435000.00,PT1H35M
SGN,2024-11-01 14:30:00,UIH,2024-11-01 15:40:00,VJ,384,2435000.00,PT1H10M
UIH,2024-11-01 17:45:00,HAN,2024-11-01 19:25:00,VJ,430,2435000.00,PT1H40M
SGN,2024-11-01 14:40:00,HAN,2024-11-01 16:50:00,A1,4140,2452000.00,PT2H10M
SGN,2024-11-01 15:00:00,HAN,2024-11-01 17:10:00,A1,4144,2452000.00,PT2H10M
SGN,2024-11-01 19:10:00,HAN,2024-11-01 21:20:00,A1,4154,2452000.00,PT2H10M
SGN,2024-11-01 21:40:00,HAN,2024-11-01 23:50:00,A1,4152,2452000.00,PT2H10M
SGN,2024-11-01 10:55:00,DIN,2024-11-01 12:55:00,VJ,298,2650000.00,PT2H
DIN,2024-11-01 14:10:00,HAN,2024-11-01 15:00:00,VJ,598,2650000.00,PT50M
SGN,2024-11-01 15:10:00,BMV,2024-11-01 16:10:00,VJ,354,2650000.00,PT1H
BMV,2024-11-01 17:55:00,HAN,2024-11-01 19:40:00,VJ,496,2650000.00,PT1H45M
SGN,2024-11-01 05:40:00,BMV,2024-11-01 06:40:00,VJ,356,2650000.00,PT1H
BMV,2024-11-01 09:25:00,HAN,2024-11-01 11:10:00,VJ,492,2650000.00,PT1H45M
SGN,2024-11-01 15:10:00,BMV,2024-11-01 16:10:00,VJ,358,2650000.00,PT1H
BMV,2024-11-01 20:15:00,HAN,2024-11-01 22:00:00,VJ,494,2650000.00,PT1H45M
SGN,2024-11-01 06:25:00,PQC,2024-11-01 07:25:00,VJ,321,2650000.00,PT1H
PQC,2024-11-01 09:55:00,HAN,2024-11-01 12:00:00,VJ,452,2650000.00,PT2H5M
SGN,2024-11-01 09:55:00,PQC,2024-11-01 10:55:00,VJ,323,2650000.00,PT1H
PQC,2024-11-01 14:10:00,HAN,2024-11-01 16:15:00,VJ,456,2650000.00,PT2H5M
PQC,2024-11-01 13:15:00,HAN,2024-11-01 15:20:00,VJ,454,2650000.00,PT2H5M
