Departure Airport,Departure Time,Arrival Airport,Arrival Time,Carrier Code,Flight Number,Price (VND),Duration
SGN,2024-09-15 06:00:00,HAN,2024-09-15 08:15:00,VN,206,3787000.0,PT2H15M
SGN,2024-09-15 21:00:00,HAN,2024-09-15 23:15:00,VN,260,3787000.0,PT2H15M
SGN,2024-09-15 20:30:00,HAN,2024-09-15 22:30:00,VN,6020,4055000.0,PT2H
SGN,2024-09-15 07:25:00,HAN,2024-09-15 09:30:00,VN,6030,4055000.0,PT2H5M
SGN,2024-09-15 08:00:00,HAN,2024-09-15 10:10:00,VN,208,4055000.0,PT2H10M
SGN,2024-09-15 10:00:00,HAN,2024-09-15 12:10:00,VN,210,4055000.0,PT2H10M
SGN,2024-09-15 12:00:00,HAN,2024-09-15 14:10:00,VN,212,4055000.0,PT2H10M
SGN,2024-09-15 16:00:00,HAN,2024-09-15 18:10:00,VN,216,4055000.0,PT2H10M
SGN,2024-09-15 19:30:00,HAN,2024-09-15 21:40:00,VN,262,4055000.0,PT2H10M
SGN,2024-09-15 20:00:00,HAN,2024-09-15 22:10:00,VN,226,4055000.0,PT2H10M
SGN,2024-09-15 07:00:00,HAN,2024-09-15 09:15:00,VN,240,4055000.0,PT2H15M
SGN,2024-09-15 09:00:00,HAN,2024-09-15 11:15:00,VN,244,4055000.0,PT2H15M
SGN,2024-09-15 11:00:00,HAN,2024-09-15 13:15:00,VN,246,4055000.0,PT2H15M
SGN,2024-09-15 13:00:00,HAN,2024-09-15 15:15:00,VN,248,4055000.0,PT2H15M
SGN,2024-09-15 14:00:00,HAN,2024-09-15 16:15:00,VN,214,4055000.0,PT2H15M
SGN,2024-09-15 18:00:00,HAN,2024-09-15 20:15:00,VN,218,4055000.0,PT2H15M
SGN,2024-09-15 20:00:00,HAN,2024-09-15 22:15:00,VN,220,4055000.0,PT2H15M
SGN,2024-09-15 15:45:00,HAN,2024-09-15 21:10:00,VN,922,4055000.0,PT5H25M
SGN,2024-09-15 12:15:00,CXR,2024-09-15 13:30:00,VN,1344,4237000.0,PT1H15M
CXR,2024-09-15 14:40:00,HAN,2024-09-15 16:40:00,VN,1556,4237000.0,PT2H
